,endTime,artistName,trackName,msPlayed,uniqueID,inLibrary,album,track_uri
8391,2021-01-04 06:16,Jooyoung,Wet (feat.Superbee),239234,Jooyoung:Wet (feat.Superbee),0,,
8392,2021-01-04 06:19,Zion.T,Eat,161617,Zion.T:Eat,0,,
8393,2021-01-04 06:20,Min Kyunghoon,Hanryang,66307,Min Kyunghoon:Hanryang,0,,
8394,2021-01-04 15:23,MINO,Run away,145706,MINO:Run away,0,,
8395,2021-01-04 15:25,TAEYEON,What Do I Call You,167746,TAEYEON:What Do I Call You,0,,
8396,2021-01-04 15:29,Sam Kim,Make Up,207493,Sam Kim:Make Up,0,,
8397,2021-01-04 15:33,Raiden,Yours,235413,Raiden:Yours,0,,
8398,2021-01-04 15:36,IU,dlwlrma,176098,IU:dlwlrma,0,,
8399,2021-01-04 15:38,Zion.T,Eat,161617,Zion.T:Eat,0,,
8400,2021-01-04 15:42,Jamie,Apollo 11 (feat. Jay Park),200480,Jamie:Apollo 11 (feat. Jay Park),0,,
8401,2021-01-04 15:46,Zion.T,Yanghwa BRDG,229349,Zion.T:Yanghwa BRDG,0,,
8402,2021-01-04 15:49,CHANGMO,아름다워,220290,CHANGMO:아름다워,0,,
8403,2021-01-04 15:53,HEIZE,We don’t talk together,199215,HEIZE:We don’t talk together,0,,
8404,2021-01-04 15:55,Yerin Baek,Bye bye my blue,155501,Yerin Baek:Bye bye my blue,0,,
8405,2021-01-04 23:13,Yerin Baek,Bye bye my blue,204478,Yerin Baek:Bye bye my blue,0,,
8406,2021-01-04 23:16,GIRIBOY,교통정리,19226,GIRIBOY:교통정리,0,,
8407,2021-01-04 23:16,Jooyoung,Wet (feat.Superbee),5430,Jooyoung:Wet (feat.Superbee),0,,
8408,2021-01-04 23:16,Jamie,Numbers (feat. CHANGMO),176400,Jamie:Numbers (feat. CHANGMO),0,,
8409,2021-01-04 23:20,IU,Palette (feat. G-DRAGON),217412,IU:Palette (feat. G-DRAGON),0,,
8410,2021-01-04 23:24,OVAN,I Need You,230769,OVAN:I Need You,0,,
8411,2021-01-04 23:27,Loco,It's been a while (feat. Zion.T),205999,Loco:It's been a while (feat. Zion.T),0,,
8412,2021-01-04 23:33,Min Kyunghoon,Hanryang,202866,Min Kyunghoon:Hanryang,0,,
8413,2021-01-04 23:37,SOLE,RIDE (feat. THAMA),244133,SOLE:RIDE (feat. THAMA),0,,
8414,2021-01-04 23:41,ZICO,Human,237520,ZICO:Human,0,,
8415,2021-01-04 23:42,MINO,Fear,28832,MINO:Fear,0,,
8416,2021-01-05 05:29,MINO,Fear,249317,MINO:Fear,0,,
8417,2021-01-05 05:33,CHANGMO,METEOR,197096,CHANGMO:METEOR,0,,
8418,2021-01-05 05:33,Zion.T,No Make Up,7487,Zion.T:No Make Up,0,,
8419,2021-01-05 05:37,GIRIBOY,Let's Not Love Each Other,242999,GIRIBOY:Let's Not Love Each Other,0,,
8420,2021-01-05 05:37,Crush,Cereal,3715,Crush:Cereal,0,,
8421,2021-01-05 05:37,SURAN,WINE (Feat.Changmo) (Prod. SUGA),12500,SURAN:WINE (Feat.Changmo) (Prod. SUGA),0,,
8422,2021-01-05 05:40,MINO,Run away,145706,MINO:Run away,0,,
8423,2021-01-05 05:42,pH-1,Oscar,3157,pH-1:Oscar,0,,
8424,2021-01-05 05:42,TAEYEON,What Do I Call You,115551,TAEYEON:What Do I Call You,0,,
8425,2021-01-05 05:42,GroovyRoom,"Sunday (feat. HEIZE, Jay Park)",6408,"GroovyRoom:Sunday (feat. HEIZE, Jay Park)",0,,
8426,2021-01-05 05:42,Hoody,Adios,3250,Hoody:Adios,0,,
8427,2021-01-05 05:42,Basick,Stand Up,3436,Basick:Stand Up,0,,
8428,2021-01-05 05:42,lIlBOI,ON AIR,2786,lIlBOI:ON AIR,0,,
8429,2021-01-05 05:46,Sik-K,party (SHUT DOWN),216113,Sik-K:party (SHUT DOWN),0,,
8430,2021-01-05 05:49,Jay Park,곁에 있어주길 Stay with Me,209633,Jay Park:곁에 있어주길 Stay with Me,0,,
8431,2021-01-05 05:53,Sik-K,Ring Ring,206613,Sik-K:Ring Ring,0,,
8432,2021-01-05 05:53,Jay Park,Me Like Yuh,8960,Jay Park:Me Like Yuh,0,,
